Rank,Ticker,Market Cap (B),Stock Price,Change,Revenue (B)
1,AAPL,3692.88,245.83,0.39%,395.76
2,NVDA,3431.29,140.11,0.63%,113.27
3,MSFT,3093.50,416.13,0.33%,261.80
4,AMZN,2362.02,222.88,-1.65%,637.96
5,GOOG,2268.67,186.64,-0.26%,350.02
6,GOOGL,2249.79,184.56,-0.38%,350.02
7,META,1760.49,694.84,-1.27%,164.50
8,TSLA,1139.93,354.40,-1.71%,97.69
9,AVGO,1062.81,226.74,-0.87%,51.57
10,COST,459.36,1034.83,-2.61%,258.81
11,NFLX,438.25,1024.54,-1.80%,39.00
12,TMUS,303.02,265.40,0.78%,81.40
13,ASML,292.57,743.09,-0.23%,29.26
14,CSCO,257.28,64.67,-0.26%,54.18
15,PLTR,249.24,106.27,-5.17%,2.87
16,AZN,227.07,74.56,1.02%,54.07
17,LIN,219.94,461.90,-0.04%,33.01
18,ISRG,216.34,606.57,-0.31%,8.35
19,PEP,204.49,149.10,2.26%,91.85
20,ADBE,197.93,454.69,-0.50%,21.51
21,QCOM,192.01,173.70,-0.87%,40.70
22,TXN,185.67,203.96,3.89%,15.64
23,AMD,185.01,114.17,-0.45%,25.79
24,PDD,172.78,124.41,-0.02%,53.05
25,BKNG,166.09,5018.23,-1.81%,23.05
26,INTU,162.09,579.08,-0.53%,16.59
27,AMGN,160.05,297.93,1.24%,33.42
28,ARM,159.00,150.85,-2.27%,3.69
29,APP,153.02,450.01,-8.94%,4.71
30,AMAT,143.04,176.01,1.12%,27.64
31,CMCSA,137.67,36.41,-0.19%,123.73
32,HON,137.43,211.35,0.26%,38.50
33,GILD,137.13,110.03,2.21%,28.75
34,PANW,131.63,198.81,-3.11%,8.57
35,SBUX,128.75,113.34,0.76%,36.15
36,ADP,126.93,311.97,-0.40%,19.90
37,VRTX,123.34,480.33,1.82%,11.02
38,ADI,120.96,243.82,0.89%,9.34
39,MU,114.96,103.18,-1.13%,29.09
40,LRCX,114.27,89.02,1.55%,16.21
41,INTC,112.97,26.09,1.44%,53.10
42,CRWD,107.43,436.14,-3.11%,3.74
43,MELI,107.00,2110.47,1.67%,18.49
44,KLAC,103.34,777.63,0.37%,10.85
45,CEG,96.80,309.42,-3.81%,23.57
46,ABNB,96.50,155.31,-1.69%,11.10
47,MRVL,94.07,108.71,-2.10%,5.38
48,FTNT,87.54,114.21,-0.31%,5.96
49,DASH,84.96,202.25,-5.15%,10.72
50,MSTR,83.36,323.92,1.65%,0.46
51,CTAS,83.10,205.93,-1.06%,9.94
52,MDLZ,80.42,62.17,0.39%,36.44
53,MAR,79.18,287.20,-0.13%,6.62
54,TEAM,78.20,298.49,-1.72%,4.79
55,PYPL,76.79,77.63,-0.93%,31.80
56,SNPS,76.38,493.97,-1.40%,6.13
57,ORLY,75.44,1312.44,1.28%,16.71
58,REGN,74.49,696.02,1.51%,14.20
59,CDNS,74.11,270.23,-1.39%,4.64
60,WDAY,69.59,261.63,0.20%,8.16
61,CSX,62.60,32.46,0.15%,14.54
62,ADSK,62.52,291.02,-2.69%,5.96
63,NXPI,62.49,245.86,0.11%,12.61
64,ROP,62.35,581.42,0.76%,7.04
65,CHTR,57.52,363.01,0.40%,55.09
66,CPRT,56.10,58.22,-2.54%,4.36
67,PCAR,55.83,106.46,-0.70%,33.66
68,AEP,55.52,104.35,1.22%,19.72
69,PAYX,54.10,150.26,0.15%,5.37
70,MNST,49.80,51.21,-0.93%,7.41
71,FANG,47.33,162.09,1.14%,9.16
72,BKR,46.45,46.91,0.04%,27.83
73,ROST,45.89,139.09,-0.46%,21.24
74,KDP,44.95,33.14,1.10%,15.15
75,LULU,44.41,365.82,-0.38%,10.18
76,EXC,43.40,43.17,1.22%,23.03
77,CTSH,43.30,87.54,-1.01%,19.74
78,FAST,43.09,75.14,-0.57%,7.55
79,DDOG,42.89,126.24,-2.03%,2.68
80,GEHC,42.11,92.09,-0.46%,19.67
81,ODFL,42.11,197.25,-3.83%,5.81
82,VRSK,41.33,292.70,-1.07%,2.82
83,AXON,41.32,541.81,-8.70%,1.94
84,XEL,39.81,69.32,0.36%,13.44
85,CCEP,39.80,86.55,-0.35%,21.16
86,TTWO,37.99,215.24,0.03%,5.45
87,TTD,37.38,75.73,-1.33%,2.44
88,IDXX,37.08,452.86,0.41%,3.90
89,KHC,36.04,30.16,1.24%,25.85
90,DXCM,34.91,89.34,-0.38%,4.03
91,MCHP,34.58,64.30,1.12%,4.76
92,EA,33.88,129.99,0.50%,7.35
93,CSGP,32.11,78.33,-1.11%,2.74
94,ZS,31.76,206.97,-3.59%,2.30
95,ANSS,29.84,340.46,1.10%,2.54
96,WBD,27.08,11.04,1.38%,39.58
97,CDW,25.69,192.80,-0.87%,21.00
98,GFS,24.62,44.55,-2.71%,6.75
99,ON,23.49,55.74,0.40%,7.08
100,MDB,21.60,290.00,-1.69%,1.92
101,BIIB,20.07,137.08,0.29%,9.68